pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
5041`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_SeptemberJOC/8866_21.pdf`Success`Failed``10`Fillable Check: Failed`
25475`https://www.cityofchicago.org/content/dam/city/depts/dca/Grants/IncentOvatePanelistGrantees14.pdf`Success`Success`2`2`Not a fillable PDF.`2014 DCASE IncentOvate Grantees   Chicago Children’s Choir  Chicago History Museum  Lyric Opera of Chicago   National Museum of Mexican Art  Old Town School of Folk Music   2014 DCASE IncentOvate Panelists                Julie Burros  Deb Clapp   Melissa Cherry  Allyson Esposito  Marcia Festen   Tracie Hall   Joseph Ravens  Sydney Sidwell  Blair Thomas  Alison Zehr      
18722`https://www.cityofchicago.org/content/dam/city/depts/doit/general/contractor_reports/2014/12_December2014.pdf`Success`Failed`197`10`Not a fillable PDF.`
14235`https://www.cityofchicago.org/content/dam/city/depts/cdph/H1N1_swine_flu/FluUpdate/FluUpdate_Week53_01092015.pdf`Success`Failed`2`2`Not a fillable PDF.`
27047`https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionaugust062005/Lot1063.pdf`Success`Success`3`3`Not a fillable PDF.`
12329`https://www.cityofchicago.org/content/dam/city/depts/cacc/PDFiles/december_2016.pdf`Success`Success`1`1`Not a fillable PDF.`Shelter Statistics From 12/01/16 to 12/31/16  Intakes  Stray  Owner Surrender  Confiscate  Wildlife  Disposal Request  Euthanasia Request  Returns  Total  Outcomes  Adoption  Returned to Owner  Transfer  Euthanasia by Request  Other Euthanasia  Died in Care  Dead on Arrival  Total  Dog  286  184  64  0  37  67  1  Cat  196  107  9  0  26  10  0  639  348  Dog  36  107  354  57  105  3  45  707  Cat  42  8  293  9  33  3  27  415  Other  7  10  1  42  2  1  0  63  Total  489  301  74  42  65  78  1  1,050  Other  Total  0  0  29  1  26  0  9  65  78  115  676  67  164  6  81  1,187  
23327`https://www.cityofchicago.org/content/dam/city/depts/doit/general/GIS/Chicago_Maps/Citywide_Maps/Ward_38.pdf`Success`Failed`1`1`Not a fillable PDF.`
13156`https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/2501wnorth.pdf`Success`Success`4`4`Not a fillable PDF.`
15723`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/10reports/T_002_41stKingAR10.pdf`Error`too many values to unpack (expected 2)
5361`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2006PreBids/PreBid19787.pdf`Success`Success`1`1`Not a fillable PDF.`             Project Name:      Water Treatment Consulting Services    Specification No.:           19787       Department of Procurement Services - City of Chicago  PRE-PROPOSAL CONFERENCE ATTENDEE REGISTER   Page 1 of 1            Contract Administrator:     Sandra Shakespheare   Lead Department:              Aviation             Conference Date:  Tuesday, March 28, 2006 @ 10:30 a.m.      Conference Location:   O'Hare – H & R Building     Attendee Name    Company   Address   Daniel T. Gallagher   Montgomery Watson Harza   Michael Fehr   Fehr Solutions, LLC   Bill Shaughnessy   Gehrke Technology Group   David Radziewicz   Globetrotters International   Robert Tschannen   Earthwise Environmental, Inc.   Greg Crowley   CEG Industrial Systems   175 West Jackson Blvd.  Chicago, IL  60604   1770 S. Randall Rd., Suite A #193  Geneva, IL  60134-4603   951 N. Old Rand Road, Ste. 112  Wauconda, IL  60084-1288   300 S. Wacker Drive, Ste. 400  Chicago, IL  60606   1290 Mark Street  Bensenville, IL  60106   P.O. Box 287  Schereville, IN  46375   Telephone No./   Fax No./   e-mail address   (312) 831-3817  (312) 831-3889   daniel.t.gallagher@mwhglobal.com   (630) 845-1803      mike@fehrsolutions.com   (847) 498-7320  (847) 487-9026      (312) 922-6400  (312) 922-2953   david.radziewicz@gec-group.com    (630) 475-3070  (630) 475-3075   rtschannen@earthwiseenvironmental.com   (219) 864-1633   gcrowley@crowleyengineering.com   www.crowleyengineering.com         
6370`https://www.cityofchicago.org/content/dam/city/depts/dps/SoleSource/NCRB_2008/09_Sep2008/B2Gnow.pdf`Success`Success`63`10`Not a fillable PDF.`
25667`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/AUTOMOTIVE-PAINTER_4605.pdf`Success`Success`2`2`Not a fillable PDF.`Code:  4605  Operation and Construction Service  Building Maintenance and Operation Group  Painting Trades Series                                  CLASS TITLE: Automotive Painter    CHARACTERISTICS OF THE CLASS:  Under supervision, performs journey  level work in the preparation and painting of automobiles and other  motor vehicles; and performs related duties as required.    ESSENTIAL DUTIES:  Reads specifications and work orders to assess work  required and to determine the most appropriate preparation and  application methods to use; ensures adequate supplies of tools,  equipment and materials are at work sites to complete jobs; operates  power equipment to sand and remove paint and rust spots from vehicles;  fills small dents and scratches with body filler; cleans and prepares  surfaces to ensure paint and other finishes will adhere properly;  removes or masks parts of vehicle surfaces not to be painted such as  chrome trim, headlights, windows and mirrors; mixes and blends paints  to match the original color of vehicles; uses spray guns to apply  successive coats of paint such as primer, lacquer and enamel to  vehicles; checks quality of work on refinished vehicles to ensure  appropriate consistency and color; affixes decals and stencils  letters, numbers, insignias and other identification marks onto  vehicle surfaces; prepares work activity reports.     RELATED DUTIES:  Cleans paint applicators, equipment and work site  after paint job is completed; may prepare cost estimates of materials  and man hours needed to complete automotive paint jobs.       MINIMUM QUALIFICATIONS:    Training and Experience.  Successful completion of a US Department of  Labor registered automotive painting apprenticeship training program  and journeyman status, or an equivalent combination of training and  experience.    A valid State of Illinois driver’s license is required.      Knowledge, Abilities and Skill.  Good knowledge of the work methods  and techniques used in mixing and applying the different types of  paints used in automotive painting.  Good knowledge of paint products  and equipment used in automotive painting.  Good knowledge of safety  practices and procedures.    Physical ability to use spray guns to apply paint and finishes to  vehicles.  Ability to mix paints to achieve a good match with original  paint.  Ability to work safely.  Ability to prepare work activity       Code:  4605  Operation and Construction Service  Building Maintenance and Operation Group  Painting Trades Series       CLASS TITLE:  Automotive Painter    (Cont'd)    reports.     Skill in the mixing and application of different types of paint.    Skill in the use of tools and equipment used in automotive painting.    Basic math skills.  Basic oral and written communication skills.    Physical Requirements.  Ability to lift and carry tools and materials   weighing up to 35 pounds frequently and greater than 35 pounds  occasionally.     Working Conditions.  Unavoidable exposure to paint fumes.  Work is  performed in spray booths or special ventilation booths.    Equipment.  Standard tools and equipment of the trade including paint  spray guns.  Safety equipment including respirators and masks.            NOTE: While the list of essential duties is intended to be as inclusive   as possible, there may be other duties which are essential  to particular positions within the class.                        November, 2004  City of Chicago  Department of Personnel   
13924`https://www.cityofchicago.org/content/dam/city/depts/dcd/agendas/JulyMinutes.pdf`Success`Success`5`5`Not a fillable PDF.`COMMUNITY DEVELOPMENT COMMISSION   121 North LaSalle Street   Council Chambers, Second Floor   Regular Meeting, 1:00 p.m.   July 10, 2012      MINUTES      ROLL CALL OF COMMISSIONERS  Chairman Marina Carrott called the meeting to order at 1:00 p.m. and then undertook a  roll call to establish the presence of a quorum.    Present  Marina Carrott, Chairman  Jorge Perez, Vice Chairman  Roxanne Ward, Secretary  Robert Buford  Omar Duque  Anne Kostiner  Lyle Logan  Clyde Martin   Andrew Mooney  Shirley Newsome  Lynn Olander  Ellen Sahli  Jonathan Stein  Lynn Todman    Not Present  Margaret Garner    A court reporter was present to record the proceedings.  A transcript is available for the  purpose of pursuing all matters in greater detail and is a part of the  permanent public  record of this Regular Meeting of the Community Development Commission.   APPROVE MINUTES OF THE JUNE 12TH MEETING  Motioned by Olander, seconded by Sahli.  Voice vote, all yeas. Buford, Kostiner and  Stein not present.  1    I.                       II.          III.  NEW BUSINESS      A.     STEVENSON/BRIGHTON TIF REDEVELOPMENT PROJECT AREA  (WARD 14)  Request authority for the Department of Housing and Economic Development to  negotiate a redevelopment agreement with Pulaski Promenade, LLC for  redevelopment of the property located at 4064-4200 S. Pulaski Road in the  Stevenson/Brighton Tax Increment Financing Redevelopment Project Area, and  to recommend to the City Council of the City of Chicago the designation of  Pulaski Promenade, LLC as Developer.  Project Manager: Lisa Washington    Motioned by Logan, seconded by Newsome.  Approved 11-0. Yeas: Carrott,  Buford, Duque, Logan, Martin, Mooney, Newsome, Olander, Perez, Sahli and  Ward.  Kostiner and Todman abstain.  Stein recused.    12-CDC-21     (WARD 2)  Request authority for the Department of Housing and Economic Development to  negotiate a redevelopment agreement with The American National Red Cross for  redevelopment of the Red Cross of Greater Chicago-Rauner Center located at  2200 W. Harrison Street within the Western/Ogden Tax Increment Financing  Redevelopment Project Area; and to recommend to the City Council of the City  of Chicago the designation of The American National Red Cross as Developer.  Project Manager: Karen J. Forté    Motioned by Perez, seconded by Logan.  Approved 13-0. Yeas: Carrott, Buford,  Duque, Kostiner, Logan, Martin, Newsome, Olander, Perez, Sahli, Stein, Todman  and Ward.  Mooney absent.    12-CDC-22        B.  WESTERN/OGDEN TIF REDEVELOPMENT PROJECT AREA        C.   D.      43RD/COTTAGE GROVE TIF REDEVELOPMENT PROJECT AREA  (WARD 4)  Request authority to advertise the Department of Housing and Economic  Development=s intention to enter into a negotiated sale with Mahogany Chicago  47, LLC; Mahogany Shops 47, LLC; TCB Development Services, LLC; and Lofts  47 Phase I, Limited Partnership (the ‘Development Team’) for the disposition of  the city property located on the block bounded by 47th and 48th streets, Cottage  Grove and Evans avenues in the 43rd/Cottage Grove TIF Redevelopment Project  Area, to request alternative proposals and to approve the sale of the property to  the Development Team if no responsive alternative proposals are received; and  request authority for the Department of Housing and Economic Development to  negotiate a redevelopment agreement with the Development Team for  redevelopment of the city property plus Development Team property also located  within the block, and to recommend to the City Council of the City of Chicago  the designation of the Development Team as Developer if no responsive  alternative proposals are received.  Project Manager: Christopher Jang     Motioned by Ward, seconded by Martin.  Approved 12-0. Yeas: Carrott, Buford,  Duque, Kostiner, Logan, Martin, Olander, Perez, Sahli, Stein, Todman and Ward.   Mooney and Newsome recused.    12-CDC-23    47TH/KING TIF REDEVELOPMENT PROJECT AREA  (WARD 3)  Request authority to advertise the Department of Housing and Economic  Development=s intention to enter into a negotiated sale with Rosenwald Courts  Apartments, LP for the disposition of the city property located at 4601, 4609 and  4611 S. Michigan Avenue, and 4638 and 4648 S. Wabash Avenue in the 47th/  King Tax Increment Financing Redevelopment Project Area, to request  alternative proposals and to approve the sale of the property to Rosenwald Courts  Apartments, LP if no responsive alternative proposals are received; and request  authority for the Department of Housing and Economic Development to negotiate  a redevelopment agreement with Rosenwald Courts Apartments, LP for  redevelopment of the city property plus the developer property located at 4600 S.  Michigan Avenue, and to recommend to the City Council of the City of Chicago  the designation of  Rosenwald Courts Apartments, LP as Developer if no  responsive alternative proposals are received.  Project Manager: Tracy Sanchez    Motioned by Ward, seconded by Sahli.  Approved 7-1. Yeas: Carrott, Buford,  Mooney, Newsome, Olander, Sahli and Ward.  Nay: Duque.  Kostiner, Logan,  Martin, Perez, Stein and Todman not present.    12-CDC-23          E.      F.      47TH/HALSTED AND ENGLEWOOD NEIGHBORHOOD TIF  REDEVELOPMENT PROJECT AREAS (WARDS 3 AND 20)  Request authority to advertise the Department of Housing and Economic  Development=s intention to enter into a negotiated sale with Norfolk Southern  Railway Company for the disposition of the property located at 525-537 and 532  W. Garfield Boulevard; 5900-5920 and 5911 S. Parnell Avenue; 5916, 5926 and  5931 S. Normal Avenue; 446 W. 60th Street; 425 W. 59th Street; 5911, 5915,  5916, 5920-26, 5921, 5931, 5954 and 5960 S. Eggleston Avenue; 5910, 5946 and  5954 S. Stewart Avenue; and 402, 407 and 428 W. 60th Place in the 47th/Halsted  and Englewood Neighborhood Tax Increment Financing Redevelopment Project  Areas, to request alternative proposals, and to approve the sale of the property to  Norfolk Southern Railway Company if no responsive alternative proposals are  received.  Project Manager: Michelle Nolan   Motioned by Olander, seconded by Duque.  Approved 7-0. Yeas: Carrott, Buford,  Duque, Mooney, Newsome, Olander and Sahli.  Kostiner, Logan, Martin, Perez,  Stein, Todman and Ward not present.    12-CDC-25   MIDWEST TIF REDEVELOPMENT PROJECT AREA (WARD 24)  Request authority to advertise the Department of Housing and Economic  Development=s intention to enter into a negotiated sale with the Community  Christian Alternative Academy for the disposition of the property located at 1213  and1221 S. Pulaski Road and 1234 and 1242 S. Harding Avenue in the Midwest  Tax Increment Financing Redevelopment Project Area, to request alternative  proposals, and to approve the sale of the property to Community Christian  Alternative Academy if no responsive alternative proposals are received.  Project Manager: Michele Rhymes    Motioned by Buford, seconded by Olander.  Approved 7-0. Yeas: Carrott, Buford,  Duque, Mooney, Newsome, Olander and Sahli.  Kostiner, Logan, Martin, Perez,  Stein, Todman and Ward not present.    12-CDC-26                       H.   G.  WESTERN AVENUE NORTH TIF REDEVELOPMENT PROJECT AREA   (WARD 47 )  Request authority for the Department of Housing and Economic Development to  negotiate a redevelopment agreement with Ravenswood Station, LLC for  redevelopment of the property located at 1820-24 W. Lawrence Avenue in the  Western Avenue North Tax Increment Financing Redevelopment Project Area,  and to recommend to the City Council of the City of Chicago the designation of  Ravenswood Station, LLC as Developer.  Project Manager: Esperanza Escareno-Banks    Motioned by Duque, seconded by Buford.  Approved 7-0. Yeas: Carrott, Buford,  Duque, Mooney, Newsome, Olander and Sahli.  Kostiner, Logan, Martin, Perez,  Stein, Todman and Ward not present.    12-CDC-27    PROPOSED 51ST/LAKE PARK TIF REDEVELOPMENT PROJECT  AREA (WARD 4)  Accept for review the feasibility study and redevelopment plan for the proposed  51st/Lake Park Tax Increment Financing Redevelopment Project Area, and set  dates for a public meeting of the Joint Review Board and a public hearing.  Project Manager: Beth McGuire    Motioned by Sahli, seconded by Newsome.  Approved 7-0. Yeas: Carrott, Buford,  Duque, Mooney, Newsome, Olander and Sahli.  Kostiner, Logan, Martin, Perez,  Stein, Todman and Ward not present.    12-CDC-28     IV.  ADJOURNMENT         Motioned by Sahli, seconded by Duque.  Voice vote, all yeas.   Meeting adjourned at 5:20 p.m.      
9483`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/08reports/T_051_26thKostnerAR.pdf`Success`Failed`39`10`Fillable Check: Failed`
